palavras chaves orbit,,,,,,,,,,,,,,,,
Todo o período,,,,,,,,,,,,,,,,
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Campanha,Grupo de anúncios,Status,Motivos do status,URL final,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Taxa de conv.,Conversões,Custo / conv.
Ativado,analise de swot,Correspondência ampla,[Rodrigo][Search][Leads][Maio],00- recomendação google,Limitado,baixa qualidade,,0,11,0%,BRL,0,0,0%,0,0
Ativado,"""dashboard gestão empresarial""",Correspondência de frase,[Rodrigo][Search][Leads][Maio],01- Gestão,Qualificado,,,0,1,0%,BRL,0,0,0%,0,0
Ativado,sistema de planejamento estratégico,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Qualificado,,,1,155,"0,65%",BRL,"2,57","2,57",0%,0,0
Pausado,analise de swot,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Pausado,pausado,,0,0,--,BRL,0,0,0%,0,0
Ativado,software planejamento estratégico,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Qualificado,,,1,21,"4,76%",BRL,"21,4","21,4",0%,0,0
Pausado,gestao estrategica,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Pausado,pausado,,0,0,--,BRL,0,0,0%,0,0
Ativado,"""Planejamento estratégico""",Correspondência de frase,[Rodrigo][Search][Leads][Maio],01- Gestão,Qualificado,,,0,22,0%,BRL,0,0,0%,0,0
Ativado,"""gestão""",Correspondência de frase,[Rodrigo][Search][Leads][Maio],01- Gestão,Qualificado,,,25,703,"3,56%",BRL,"12,64","315,9",0%,0,0
Pausado,gestão estratégica,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Pausado,pausado,,0,0,--,BRL,0,0,0%,0,0
Ativado,etapas do planejamento estratégico,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Qualificado,,,0,0,--,BRL,0,0,0%,0,0
Pausado,planejamento estratégico empresarial,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Pausado,pausado,,0,0,--,BRL,0,0,0%,0,0
Ativado,"""como padronizar processos""",Correspondência de frase,[Rodrigo][Search][Leads][Maio],01- Gestão,Qualificado,,,0,1,0%,BRL,0,0,0%,0,0
Pausado,matriz swot,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Pausado,pausado,,0,0,--,BRL,0,0,0%,0,0
Ativado,administração estratégica,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Qualificado,,,0,0,--,BRL,0,0,0%,0,0
Ativado,estratégia de negócios,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Limitado,baixa qualidade,,10,224,"4,46%",BRL,"4,46","44,59",0%,0,0
Ativado,gestão estratégica de empresas,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Qualificado,,,0,0,--,BRL,0,0,0%,0,0
Ativado,planejamento estratégico o que é,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Qualificado,,,0,0,--,BRL,0,0,0%,0,0
Ativado,"""gestão de processos""",Correspondência de frase,[Rodrigo][Search][Leads][Maio],01- Gestão,Limitado,baixa qualidade,,7,223,"3,14%",BRL,"7,53","52,72",0%,0,0
Ativado,"""Sistema de gestão empresarial""",Correspondência de frase,[Rodrigo][Search][Leads][Maio],01- Gestão,Qualificado,,,0,12,0%,BRL,0,0,0%,0,0
Ativado,gestão de metas,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Qualificado,,,5,194,"2,58%",BRL,"8,04","40,19",0%,0,0
Pausado,planejamento empresarial,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Pausado,pausado,,0,0,--,BRL,0,0,0%,0,0
Pausado,consultoria planejamento estratégico,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Pausado,pausado,,0,0,--,BRL,0,0,0%,0,0
Ativado,sistema de gestão,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Limitado,baixa qualidade,,37,873,"4,24%",BRL,"8,83","326,66",0%,0,0
Ativado,analise swot empresa,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Qualificado,,,1,18,"5,56%",BRL,"21,47","21,47",0%,0,0
Pausado,software de planejamento estratégico,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Pausado,pausado,,0,0,--,BRL,0,0,0%,0,0
Ativado,analise swot,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Qualificado,,,13,205,"6,34%",BRL,"2,91","37,83",0%,0,0
Ativado,[plataforma de gestão],Correspondência exata,[Rodrigo][Search][Leads][Maio],01- Gestão,Qualificado,,,0,2,0%,BRL,0,0,0%,0,0
Pausado,planejamento estratégico,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Pausado,pausado,,0,0,--,BRL,0,0,0%,0,0
Pausado,ferramentas de gestão empresarial,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Pausado,pausado,,0,0,--,BRL,0,0,0%,0,0
Ativado,software planejamento estratégico gratuito,Correspondência ampla,[Rodrigo][Search][Leads][Maio],01- Gestão,Limitado,baixa qualidade,,0,2,0%,BRL,0,0,0%,0,0
--,,"Total: Todas as palavras-chave, exceto as removidas",--,--,--,,,315,4311,"7,31%",BRL,"5,38","1695,47","1,9%",6,"282,58"
,,Total: Palavras-chave na sua conta,,,,,,315,4311,"7,31%",BRL,"5,38","1695,47","1,9%",6,"282,58"
,,Total: Suas palavras-chave,,,,,,315,4311,"7,31%",BRL,"5,38","1695,47","1,9%",6,"282,58"
,,Total: Correspondências expandidas da AI Max,,,,,,0,0,--,BRL,0,0,0%,0,0
,,Total: Correspondências de páginas de destino da AI Max,,,,,,0,0,--,BRL,0,0,0%,0,0
,,Total: Inclusões de URL na sua conta,,,,,,0,0,--,BRL,0,0,0%,0,0
,,Total: Conta,,,,,,315,4311,"7,31%",BRL,"5,38","1695,47","1,9%",6,"282,58"
,,Total: Pesquisa,,,,,,315,4311,"7,31%",BRL,"5,38","1695,47","1,9%",6,"282,58"
